name,region,Beginner Runs,Intermediate Runs,Advanced Runs,Expert Runs,Runs,KM Pistes,base_alt,summit_alt,lifts,skiPass_max,reg
KRUMMENAU - WOLZENALP/TOGGENBURG,eastern-switzerland,0,0,75,25,4,13,730,1509,2,36,Other
LAAX,graubunden,0,36,39,26,64,235,1100,3018,28,78,graubunden
LA BERRA - LA ROCHE,fribourg,0,56,44,0,9,20,1040,1640,5,39,Other
LA FOULY - VAL FERRET,valais,0,30,20,50,10,20,1600,2200,4,39,valais
LA PUNT,graubunden,0,100,0,0,2,1,1687,1950,1,32,graubunden
LA ROBELLA,jura,0,38,23,38,13,20,770,1457,5,30,Other
LA TZOUMAZ - SAVOLEYRES,valais,0,22,78,0,9,36,1500,2354,9,75,valais
LE BRASSUS,jura,0,32,32,36,11,25,1020,1450,11,27,Other
LENK IM SIMMENTAL,bernese-oberland,0,46,43,11,65,182,1068,2100,55,64,bernese-oberland
LES AVANTS,lake-geneva-region,0,0,0,0,1,2,980,1150,4,17,Other
LES DIABLERETS,lake-geneva-region,0,43,45,12,38,84,1200,2971,26,63,Other
LES MARÉCOTTES - SALVAN,valais,0,52,28,20,7,25,1100,2200,3,43,valais
LES PACCOTS,fribourg,5,50,25,20,8,20,1065,1500,10,36,Other
LES PLÉIADES,lake-geneva-region,0,100,0,0,6,15,1e3,1360,4,35,Other
LES PRÉS D'ORVIN,bernese-oberland,0,33,0,0,6,25,1235,1320,1,30,bernese-oberland
LEUKERBAD,valais,0,11,46,43,19,52,1410,2610,10,55,valais
LEYSIN - LES MOSSES - LA LÉCHERETTE,vaud,0,57,30,13,46,100,1328,2200,28,49,Other
LÖTSCHENTAL,valais,0,36,31,33,13,55,1400,3111,7,55,valais
MARBACH,central-switzerland,0,70,30,0,6,10,872,1500,3,39,Other
MEIRINGEN - HASLIBERG,bernese-oberland,0,28,51,13,23,60,1050,2433,13,57,bernese-oberland
MELCHSEE - FRUTT,central-switzerland,0,56,21,24,10,36,1080,2255,14,50,Other
MOLÉSON - GRUYÈRES,fribourg,0,61,14,25,7,28,1100,2002,7,35,Other
PORTES DU SOLEIL,valais,0,26,58,15,286,650,1350,2e3,197,61,valais
MÜRREN - SCHILTHORN,bernese-oberland,0,37,45,18,0,51,1650,2971,17,64,bernese-oberland
NAX,valais,0,17,33,50,6,35,1490,2640,5,49,valais
NENDAZ,valais,0,41,54,5,86,412,1400,3330,91,75,valais
OBERGOMS,valais,0,50,50,0,6,10,1300,1500,4,22,valais
OBERSAXEN - VAL LUMNEZIA,graubunden,0,43,47,10,49,120,1244,2300,17,58,graubunden
OTTENLEUE,fribourg,0,0,0,0,3,5,1450,1600,1,26,Other
OVRONNAZ,valais,0,17,57,27,10,30,1350,2427,13,51,valais
PIZOL - HEIDILAND,eastern-switzerland,10,34,33,23,26,43,510,2844,11,55,Other
RICKEN,eastern-switzerland,0,100,0,0,2,5,800,900,1,21,Other
RIFFENMATT,schweizer-mittelland,0,0,0,0,0,3,1050,1150,2,22,Other
RIGI,central-switzerland,0,7,86,0,7,10,1428,1797,5,47,Other
ROCHERS DE NAYE - CAUX,lake-geneva-region,0,0,67,33,6,8,1e3,2e3,5,35,Other
ROSSBERG OBERWIL,bernese-oberland,0,8,84,0,3,5,900,1550,1,31,bernese-oberland
ROSSWALD - BRIG,valais,0,64,7,14,14,20,1820,2600,11,40,valais
ROTHENTHURM,central-switzerland,0,25,50,25,4,10,900,1330,2,28,Other
RÜSCHEGG - EYWALD,schweizer-mittelland,0,47,33,20,5,15,1290,1600,2,36,Other
SAANENMÖSER,bernese-oberland,0,65,29,6,42,110,948,2011,21,63,bernese-oberland
SAAS ALMAGELL,valais,0,33,59,8,7,12,1672,2400,8,45,valais
SAAS FEE,valais,0,37,40,14,48,100,1800,3600,22,73,valais
SAAS-GRUND,valais,0,100,0,0,9,35,1559,3200,40,54,valais
SAMEDAN,graubunden,0,100,0,0,2,3,1720,1950,2,35,graubunden
SAMNAUN,graubunden,0,25,46,29,76,238,1799,2872,45,49,graubunden
SARN - HEINZENBERG,graubunden,0,30,60,10,0,20,1300,2075,4,33,graubunden
SATTEL - HOCHSTUCKLI,central-switzerland,0,50,50,0,8,14,779,1530,6,39,Other
SAVOGNIN,graubunden,0,48,44,8,25,80,1200,2713,12,57,graubunden
SCHÖNENGRUND - APPENZELLERLAND,eastern-switzerland,0,0,0,0,0,1,830,940,1,25,Other
SCHWANDEN - SIGRISWIL,bernese-oberland,0,43,28,0,7,20,1025,1500,3,32,bernese-oberland
SCHWARZENBÜHL - SELITAL,schweizer-mittelland,0,40,40,20,0,10,1290,1600,3,34,Other
SCHWARZSEE,fribourg,0,55,36,9,10,22,1050,1750,5,39,Other
SCHWELLBRUNN - APPENZELLERLAND,eastern-switzerland,0,60,0,0,5,10,850,1048,3,25,Other
SCHWYZ - IBERGEREGG (MYTHEN),central-switzerland,0,50,50,0,5,6,1360,1580,2,27,Other
SCHWYZ - ROTENFLUH (MYTHEN),central-switzerland,0,44,52,4,33,50,586,1571,15,45,Other
SCUOL,graubunden,0,38,46,16,25,80,1250,2783,14,57,graubunden
SKIARENA ANDERMATT-SEDRUN,central-switzerland,0,30,53,17,47,120,1444,2963,22,37,Other
SÖRENBERG,central-switzerland,0,28,65,8,18,53,1166,2350,17,50,Other
SPLÜGEN,graubunden,0,40,37,23,14,30,1480,2215,6,50,graubunden
ST. ANTÖNIEN,graubunden,0,55,35,10,7,10,1330,1680,3,32,graubunden
ST-CERGUE LA DÔLE,jura,7,61,25,7,21,28,1230,1678,16,31,Other
STE-CROIX - LES RASSES,jura,0,50,20,10,10,30,1100,1600,9,32,Other
ST-LUC CHANDOLIN,valais,0,44,50,6,34,60,1680,2980,15,58,valais
ST. MORITZ - CORVIGLIA,graubunden,0,18,70,10,88,163,1730,3057,24,79,graubunden
STOOS,central-switzerland,0,15,60,20,12,35,1300,1935,9,50,Other
ST. PETER - PAGIG,graubunden,0,25,17,8,12,20,1750,2200,2,40,graubunden
THYON 2000,valais,0,36,60,4,41,212,1300,2700,51,75,valais
TOGGENBURG,eastern-switzerland,0,17,75,8,23,60,1350,2262,17,59,Other
TSCHAPPINA HEINZENBERG,graubunden,0,50,40,10,0,30,1550,2180,8,34,graubunden
TSCHIERTSCHEN,graubunden,0,45,18,9,11,5,1351,2400,6,49,graubunden
UNTERBÄCH,valais,0,20,50,20,10,20,1228,2550,8,44,valais
VAL MUSTAIR,graubunden,0,25,25,19,16,40,2e3,2700,3,40,graubunden
VALS,graubunden,0,43,14,21,14,20,1250,3e3,5,49,graubunden
VERBIER,valais,0,31,48,21,94,412,1500,3330,82,75,valais
VERCORIN,valais,0,29,57,14,14,35,1330,2336,9,52,valais
VEYSONNAZ,valais,0,41,54,5,125,412,1470,2700,88,58,valais
VICHÈRES - LIDDES,valais,0,47,33,20,11,15,1346,2267,6,39,valais
VILLARS - GRYON,lake-geneva-region,0,42,48,10,67,84,1114,2020,26,54,Other
ZERMATT,valais,5,23,59,14,109,360,1620,3899,52,79,valais
ZUOZ,graubunden,0,63,27,10,10,15,1716,2465,5,56,graubunden
