name,region,Beginner Runs,Intermediate Runs,Advanced Runs,Expert Runs,Runs,KM Pistes,Terrain Parks,Skiable Terrain,Snow Making,base_alt,summit_alt,lifts,skiPass_max
Laax,graubunden,0,36,39,26,64,235,4,40,0,1100,3018,28,78
La Berra - La Roche,fribourg,0,56,44,0,9,20,0,4,1,1040,1640,5,39
La Fouly - Val Ferret,valais,0,30,20,50,10,20,0,0,0,1600,2200,4,39
La Punt,graubunden,0,100,0,0,2,1,0,0,0,1687,1950,1,32
La Robella,jura,0,38,23,38,13,20,0,0,0,770,1457,5,30
La Tzoumaz - Savoleyres,valais,0,22,78,0,9,36,0,0,0,1500,2354,9,75
Le Brassus,jura,0,32,32,36,11,25,0,0,0,1020,1450,11,27
Lenk im Simmental,bernese-oberland,0,46,43,11,65,182,2,18,40,1068,2100,55,64
Les Avants,lake-geneva-region,0,0,0,0,1,2,0,0,0,980,1150,4,17
Les Crosets,valais,12,42,35,11,286,650,0,0,0,1670,2277,197,61
Les Diablerets,lake-geneva-region,0,43,45,12,38,84,0,0,0,1200,2971,26,63
Les Marécottes - Salvan,valais,0,52,28,20,7,25,0,0,0,1100,2200,3,43
Les Paccots,fribourg,5,50,25,20,8,20,0,0,0,1065,1500,10,36
Les Pléiades,lake-geneva-region,0,100,0,0,6,15,0,0,0,1e3,1360,4,35
Les Prés d'Orvin,bernese-oberland,0,33,0,0,6,25,0,0,0,1235,1320,1,30
Leukerbad,valais,0,11,46,43,19,52,1,16,0,1410,2610,10,55
Leysin - Les Mosses - La Lécherette,vaud,0,57,30,13,46,100,2,24,0,1328,2200,28,49
Lötschental,valais,0,36,31,33,13,55,0,0,0,1400,3111,7,55
Marbach,central-switzerland,0,70,30,0,6,10,1,0,0,872,1500,3,39
Meiringen - Hasliberg,bernese-oberland,0,28,51,13,23,60,1,0,0,1050,2433,13,57
Melchsee - Frutt,central-switzerland,0,56,21,24,10,36,1,0,0,1080,2255,14,50
Moléson - Gruyères,fribourg,0,61,14,25,7,28,0,0,0,1100,2002,7,35
Morgins,valais,0,26,58,15,286,650,0,28,2,1350,2e3,197,61
Mürren - Schilthorn,bernese-oberland,0,37,45,18,0,51,0,21,11,1650,2971,17,64
Nax,valais,0,17,33,50,6,35,0,0,0,1490,2640,5,49
Nendaz,valais,0,41,54,5,86,412,1,71,4,1400,3330,91,75
Obergoms,valais,0,50,50,0,6,10,0,0,0,1300,1500,4,22
Obersaxen - Val Lumnezia,graubunden,0,43,47,10,49,120,1,0,0,1244,2300,17,58
Ottenleue,fribourg,0,0,0,0,3,5,0,0,0,1450,1600,1,26
Ovronnaz,valais,0,17,57,27,10,30,0,0,0,1350,2427,13,51
Pizol - Heidiland,eastern-switzerland,10,34,33,23,26,43,1,0,0,510,2844,11,55
Ricken,eastern-switzerland,0,100,0,0,2,5,0,0,0,800,900,1,21
Riffenmatt,schweizer-mittelland,0,0,0,0,0,3,0,0,0,1050,1150,2,22
Rigi,central-switzerland,0,7,86,0,7,10,0,0,0,1428,1797,5,47
Rochers de Naye - Caux,lake-geneva-region,0,0,67,33,6,8,0,0,0,1e3,2e3,5,35
Rossberg Oberwil,bernese-oberland,0,8,84,0,3,5,0,0,0,900,1550,1,31
Rosswald - Brig,valais,0,64,7,14,14,20,0,0,0,1820,2600,11,40
Rothenthurm,central-switzerland,0,25,50,25,4,10,0,0,0,900,1330,2,28
Rüschegg - Eywald,schweizer-mittelland,0,47,33,20,5,15,0,0,0,1290,1600,2,36
Saanenmöser,bernese-oberland,0,65,29,6,42,110,1,0,0,948,2011,21,63
Saas Almagell,valais,0,33,59,8,7,12,0,0,0,1672,2400,8,45
Saas Fee,valais,0,37,40,14,48,100,1,40,0,1800,3600,22,73
Saas-Grund,valais,0,100,0,0,9,35,0,0,0,1559,3200,40,54
Samedan,graubunden,0,100,0,0,2,3,0,0,0,1720,1950,2,35
Samnaun,graubunden,0,25,46,29,76,238,3,0,0,1799,2872,45,49
Sarn - Heinzenberg,graubunden,0,30,60,10,0,20,0,8,0,1300,2075,4,33
Sattel - Hochstuckli,central-switzerland,0,50,50,0,8,14,0,3,0,779,1530,6,39
Savognin,graubunden,0,48,44,8,25,80,0,0,0,1200,2713,12,57
Schönengrund - Appenzellerland,eastern-switzerland,0,0,0,0,0,1,0,0,0,830,940,1,25
Schwanden - Sigriswil,bernese-oberland,0,43,28,0,7,20,0,0,0,1025,1500,3,32
Schwarzenbühl - Selital,schweizer-mittelland,0,40,40,20,0,10,0,0,0,1290,1600,3,34
Schwarzsee,fribourg,0,55,36,9,10,22,1,0,0,1050,1750,5,39
Schwellbrunn - Appenzellerland,eastern-switzerland,0,60,0,0,5,10,0,0,0,850,1048,3,25
